,date,title,token,industry,ind_index,산업,vector
0,2020-12-25 17:10:00,"英 변이 바이러스, 獨서도 발견…화이자 CEO “백신 효과 낙관”","['변', '바이러스', '서도', '발견', '화이자', '백신', '효과', '낙관']",[0.50635749 0.6849842  0.36943082],1,바이오,"[-1.11428277 -0.28852956 -4.13459058  1.17692253  0.78684724  0.03052898
  0.78613607  1.59879299  2.02085862  0.70957159 -0.80540272 -1.06406614
 -2.24076888 -1.31070168  1.06541345 -1.66719485 -3.72529727 -4.50090829
  0.48620341  0.8651227   0.08130898  0.55094353  2.91410293  1.60217566
  0.94747137 -1.20050514  4.94100922 -4.1938065  -0.37385322  1.52528689
 -0.82464164  1.13557126 -0.40298937 -2.30036746  2.69770031  2.54473569
  2.78330257 -3.92277957  0.53601827 -1.22488835 -4.8513982   1.04944855
  1.32776193  1.44962968  0.56071741 -2.39709387 -0.95158305  1.31220545
 -1.67791812 -0.66119658  0.5797562  -0.96354761 -0.69914608 -0.27676907
  0.5346615   2.40114364  0.88522867 -1.33858026 -0.99123555  0.22503055
  0.69879277 -0.21603153  0.05315755 -2.16046951  0.82404182  0.3280142
  0.8683891   1.36553423 -0.97897934  1.78777708  3.09962103 -0.34200455
 -1.54415752 -1.81479438  1.33496878 -0.66572111 -0.75474578  1.12963866
 -0.66478623  1.22355282  0.12083878  1.37671618 -2.69384612  1.86379348
  0.6247242  -0.05203116  3.77875453 -0.44131152  1.40472025  0.69624912
 -0.61919882 -1.80521818 -0.33542575  1.35047617  0.36853521  1.6590276
 -2.95652201  0.91106395 -0.74754878  1.34187478]"
1,2020-12-25 16:50:00,"집에서 자동차 경주를?…닌텐도 ‘마리오카트 홈서킷’, AR게임 열풍 살릴까","['집', '자동차', '경주', '닌텐도', '마리오카트', '홈', '서킷', '게임', '열풍']",[0.58201931 0.45991976 0.59801793],3,None,"[ 1.46203995  1.39421452 -1.70339264  1.59036747 -0.81722318  0.483641
  0.36629906  2.36199681  2.10840584  1.27267284 -0.80349372 -0.77358628
 -1.15392701  0.81622042  0.91656847  0.85073325 -2.42178656 -1.65534483
 -0.0090298  -0.86392709 -0.43657921  1.06587082  3.09900686  1.31747708
  2.03033608 -1.56066018  1.6665968  -1.9652584  -0.92805625  0.74640702
  0.29100686 -0.307101   -1.51449007 -2.15560702  1.2460125  -0.12658466
  3.37010018 -1.49672034 -1.14511411  0.59891589  0.46914553 -1.03226826
  1.0427276   1.13006278 -0.59234172  0.02381195  2.12758942  0.25375061
  0.26115983  0.21540283 -0.53241746  0.58530808 -1.49697196 -0.01344196
 -2.26528417  3.23689433 -0.79166186 -0.51148697  0.48741617  1.16998625
 -2.42169315  1.36141755 -0.07708232 -2.46859206  0.66778708  1.61221216
  0.51821661 -0.50242621 -0.90369508  0.10987357  3.13400653  0.40991175
 -0.37911805 -2.14333989 -1.23955353  1.33864424 -1.44415618  1.9408306
 -1.63495358 -0.92546116 -0.27438096  1.31136855 -1.34217024  2.51773782
 -0.20873163 -0.38488585  1.12474508 -2.30128065  0.51579614 -2.05951886
  1.67264728 -2.29594686 -1.38644731  1.63298028 -0.6095244   0.0565073
 -2.27214276  1.40868405  1.57296821  1.13300402]"
2,2020-12-25 04:51:00,[날씨]‘크리스마스’ 맑고 춥다…서해 일부와 제주엔 눈·비,"['날씨', '크리스마스', '춥다', '서해', '일부', '제주', '눈', '비']",[0 0 0],3,None,"[-1.51401578e-01 -3.24972242e-01 -3.08517502e+00  7.84751496e-01
  3.53355836e-01  5.96161615e-01  1.30866718e+00  1.13813471e+00
  2.71372152e+00  4.18002434e-01 -1.77624150e+00 -6.82281174e-01
 -5.10528708e-01  5.21352295e-01  8.60777471e-01 -5.14722131e-02
 -2.73482189e+00 -1.90030463e+00 -7.29457210e-01  2.44705414e-01
 -1.13374403e+00  3.89681153e-01  9.47370231e-01  6.31068647e-01
  1.56862778e+00 -3.41409000e-01  2.32142098e+00 -2.62928641e+00
 -5.49595404e-01  1.40451138e+00  1.18921592e+00 -4.05120466e-01
 -1.31583700e+00 -8.17952953e-01  6.71840452e-01  1.21177719e+00
  1.75280783e+00 -1.08348102e+00 -1.04073160e+00 -6.50222211e-01
  3.76842096e-02 -9.76772517e-01  2.47937907e+00  8.67761299e-02
  2.90806063e-01 -6.05984307e-01  2.68796410e-01  5.66034775e-01
 -1.13949015e+00 -7.82592342e-01  6.57870075e-01 -8.88773780e-01
 -2.19314901e+00  1.68956496e+00 -1.41107115e+00  1.50359063e+00
 -8.19656118e-01 -2.10102969e+00  3.52515143e-01  4.70406795e-01
 -1.49161463e+00  1.14180002e+00  5.50868169e-01 -1.80338982e+00
  7.67508309e-01  1.93777308e-03  3.38698056e-01  6.12352151e-01
 -2.04356771e-01 -1.58992842e+00  2.55054042e-01 -2.03750297e-01
 -1.33899730e+00 -1.35915852e+00 -1.18679367e-01 -7.79462814e-01
 -1.58281660e+00  1.13607020e+00 -8.48419897e-01  7.22439546e-01
 -8.62316418e-01  1.12705324e+00 -1.76786671e+00  2.52628013e+00
 -1.16663311e-01 -4.72982544e-01  1.04045163e+00 -5.37368665e-01
  8.71995402e-01 -5.41142533e-01  9.54685098e-01 -2.58076233e+00
 -3.50173615e-01  1.57430093e+00 -2.58705302e-01  6.98081264e-01
 -2.50835145e+00  1.26283191e-01  1.21122221e-01  1.95632412e+00]"
3,2020-12-25 03:00:00,"SKT, 0.001초만에 반응 5G 클라우드 선봬","['반응', '클라우드', '선봬']",[0.57053392 0.47876092 0.65399841],2,통신,"[ 0.04980167  0.32905293 -1.07095264  0.2302961  -0.095304   -0.13874572
  0.42239337  0.91180872  1.14437667  0.66060562 -0.53589122 -0.9359166
 -1.66796219 -0.53617027  0.54865122  0.18531509 -0.98591713 -0.84431825
  0.00432733 -0.22350182  0.0910051   1.21962801  1.11335355  0.54265623
  0.4366651  -0.45438878 -0.0562513  -1.18687676  0.47528643  0.42539514
 -0.25347418 -0.05544849  0.06007136 -0.90677847  0.76212276  0.49775428
  0.53651862 -0.72896013 -0.37977242  0.51472525 -0.27866523 -0.68194425
  0.61645607  0.80451038 -0.24660711 -0.54554776  0.9070463   0.66989557
  0.26392646  0.10817606  0.05540701 -0.12582591 -1.28206992  0.21248854
 -0.86764634  1.69199577 -0.09677681 -0.27420513 -0.56162842  0.79294753
 -0.28526931  0.33908063  0.55857226 -0.58585173 -0.15136792  0.88224401
 -0.14954381 -0.16323164 -0.88161746  0.22695974  0.85173314 -0.33981974
  0.7354878  -0.53444527 -1.04058259 -0.02315683 -0.1227774   0.40361745
 -0.61383151 -0.13255906 -0.09032775  1.31385333 -0.38352679  0.4074535
  0.21662556 -0.0630672  -0.15540369 -0.59059653 -0.14736745 -0.18056974
  0.16604136 -0.6611545  -1.09057399  0.98636663 -0.21846871 -0.25406709
 -0.82535161 -0.03516666  1.06779881  0.55805501]"
4,2020-12-24 22:25:00,"[리뷰] 즐거운 하극상, 컬러풀 아이게임 지포스 RTX 3060 Ti 어드밴스드 OC","['리뷰', '극상', '컬러풀', '아이', '게임', '지포스', '어드밴스드']",[0.44012938 0.39031433 0.65169482],2,통신,"[ 8.49805608e-01  1.11168481e-01 -9.17551629e-01  1.98769078e-01
  6.21065238e-01 -4.13119189e-01 -9.84823760e-02  1.31368136e+00
  1.51492527e+00  7.19567493e-01 -1.54635739e-01 -4.59640764e-01
 -2.07186264e+00  4.56803238e-01  8.04529097e-01  6.15793280e-04
 -6.60724252e-01 -1.40993226e+00  2.55514942e-01  2.84993775e-01
  8.33257359e-01  7.52711326e-01  1.82142577e+00 -4.59936395e-01
  8.19545180e-01 -1.35869919e+00 -3.78314756e-01 -1.60823414e+00
 -2.73565754e-01  6.41874073e-01 -1.21783648e+00 -2.29589708e-01
 -4.35473386e-01 -1.82166258e+00  8.52898307e-01 -9.72088017e-02
  1.12367770e+00 -1.06055560e+00 -1.19011366e+00  8.72649156e-01
 -2.94284672e-02 -9.77356181e-01 -2.59596941e-01  2.38526005e-01
 -4.20147963e-02 -5.59260346e-01  7.99847245e-01  5.51798940e-01
  9.30171810e-01  9.49775431e-01 -3.43618594e-01  5.67815974e-01
 -9.75230087e-01  5.51207550e-02 -1.74191791e+00  1.51151495e+00
 -2.49880156e-01 -2.50930324e-01 -1.96154993e-01  2.08700141e+00
 -1.17524767e+00  2.67608002e-01  8.56139578e-01 -2.05467302e+00
 -4.90040619e-01  2.81271204e-01  4.41522782e-01 -1.06074342e+00
 -5.04047574e-01  8.49886091e-01  2.51455200e+00  1.14175045e+00
 -4.76636682e-01 -1.58174790e+00 -9.51784298e-01 -5.29071614e-02
  1.47040743e-01  8.24155994e-01 -1.26797020e+00 -1.58220604e+00
 -2.58031704e-01  1.11485733e+00 -8.12023226e-01  1.18969584e+00
  7.51317944e-02  2.65490670e-01 -6.76019970e-01 -1.05281331e+00
  1.72403726e-01 -1.31154808e+00  9.96454868e-01 -1.08296741e+00
 -1.76629639e+00  8.64404552e-01 -6.76009201e-01 -3.92214172e-01
 -1.92232926e+00  3.57955810e-01  1.24358387e+00  4.81655836e-01]"
5,2020-12-24 20:24:00,[리뷰] 130g인데 '건강'까지 챙기는 세비앙 어린이 필터 샤워기 '키즈앙',"['리뷰', '건강', '세비', '어린이', '필터', '샤워', '기', '키즈']",[0.45487191 0.44585916 0.47474048],3,None,"[ 1.39988879e+00  6.08010413e-01 -2.78118934e+00  3.73096878e-01
 -1.89279414e-01  1.86137328e+00 -1.47134243e-01  1.99498217e+00
  1.58072935e+00  1.00877220e+00 -8.70353209e-01 -1.46580624e+00
 -1.67280105e+00  6.50190582e-01  9.45815861e-01 -2.77474154e-01
 -1.93154377e+00 -2.06797618e+00  6.37764623e-02  1.39386087e+00
 -3.74815967e-01  1.79636106e+00  2.80728693e+00  3.01670074e-01
  1.34336295e+00 -2.18134895e-01  2.58523965e+00 -3.30250192e+00
 -7.18308784e-01  4.90441518e-01 -7.20581204e-01 -1.18725035e+00
 -2.29400020e+00 -1.72567183e+00  5.67241784e-01  1.04671787e+00
  2.38039440e+00 -1.31520782e+00 -1.99106660e+00  2.11431063e+00
  1.05801768e+00 -7.91859604e-01  2.31072544e+00 -2.38882154e-01
 -1.88220721e-02 -4.07880165e-01  3.60250691e-01  8.60789247e-01
 -3.33007239e-01 -1.78714074e+00  1.94802600e+00 -9.74012086e-01
 -2.85807762e+00 -2.30036395e-01 -9.39079110e-01  3.83156437e+00
  2.09573332e-01 -5.26148032e-01 -7.29473086e-01  1.97774198e+00
 -1.36093837e+00 -8.06611913e-01  6.34391814e-01 -1.93157582e+00
 -4.11702581e-01  3.51522990e-01 -1.56721815e-01  2.28997311e-02
 -1.78781389e+00  4.69717663e-03 -3.03681046e-02 -1.54498234e-01
  3.47441062e-04 -1.46712374e+00 -1.53650907e+00 -8.22635096e-01
 -9.04940069e-03  1.66082470e+00 -7.99941249e-01 -1.32879258e+00
  5.50770968e-01  2.76790554e+00 -1.91202496e+00  2.57746887e+00
 -1.31101985e+00 -2.71554340e-01 -5.06295450e-02 -1.22746692e+00
 -5.22860989e-01  7.26746507e-01 -1.60533303e+00 -2.15982929e+00
 -1.10939653e+00  1.86926299e+00 -6.54384516e-01  2.21759930e-01
 -1.28225318e+00  1.03734800e+00  1.54792710e+00  1.61310910e+00]"
6,2020-12-24 19:26:00,"[에코X경기도] 환상마켓이 조성한 친환경 생태계, 환경 보호의 선순환 이뤄","['에코', '경기도', '환상', '마켓', '조성', '친환경', '생태계', '환경', '보호', '선', '순환']",[0.52660025 0.45700529 0.52677093],3,None,"[ 1.91186838  0.99176098 -5.19869375  3.53826883 -0.98167646 -1.31697027
  1.07115829  1.19082449  0.96664803 -0.9322647  -3.33652805 -3.24931303
 -1.36396605  0.30595785 -0.60155796  1.88077521 -3.06236682 -2.31483768
  0.72893325  1.3531229   0.42528994  2.60332604  4.26328217  2.9472894
  1.07843979  1.32351659  2.4584178  -3.98175775  2.34118415  3.80484888
  3.33541269  2.69549108 -0.6837468  -4.09836552  1.87726942  1.02062065
  3.03173339 -1.74545785  0.17749365  3.75093379  1.2783072   2.09185366
  1.37552555  0.48748942  0.26318621 -0.5735132   2.71877484  2.02734449
  0.12290114  0.25491496  1.95974012 -0.69134905 -2.31896431  0.94816277
 -0.28576479  3.97705634 -0.56353987 -1.75000361  1.72826049  1.32406831
 -3.13089961  0.17373567  1.10035527 -4.26272987  2.7827256   0.80509858
 -0.59099317 -0.19590549 -0.97566025 -0.4478194   0.46476503 -1.91979973
  2.86114502 -1.10448674  1.62196256  0.32497516 -1.65118637  2.54717684
 -1.37547064  3.74670286 -1.4245763   2.79869136 -2.72598887  4.38172821
 -0.50570013  0.55490881  1.40895998 -2.65252846  0.87944218 -2.92822784
  0.2113875  -1.2822706  -1.92232484  1.30765803 -0.60119643  0.58167545
 -2.23996338  0.94767443  2.57408052  2.63832555]"
7,2020-12-24 17:52:00,"“2900원에 로켓배송, 동영상까지 쏜다”…쿠팡, ‘제2의 아마존’ 노린다","['로켓', '배송', '동영상', '쏜다', '쿠팡', '제', '의', '아마존']",[0.45537929 0.45740327 0.57992425],3,None,"[-0.15254488 -1.35020589 -1.97195638 -0.6363579   0.86086527 -0.48035379
  1.85661387  2.53827738  2.50985493  0.94580476 -1.91768222 -2.09623726
 -3.81993887  0.74144644  1.5955402   0.40604663 -3.24179538 -1.99135232
 -2.81350427 -1.64191009 -0.45310599  1.87777858  2.38993518  1.85818019
  0.47318664 -1.39682639  1.5863081  -2.1703582   1.31733457  0.21060746
  1.15011908 -1.01808495 -1.57711704 -1.94820921  1.03491062  0.63902195
  2.26511121 -0.51442188 -0.270698    0.59111786 -0.12979947 -0.82723479
  1.2849309   1.51303421 -1.99745877 -0.07157933  1.58446881  0.87619767
 -1.36285301 -0.17270644  1.81970046 -0.61099574 -2.1934685   0.57451534
 -3.15066166  2.85646043 -0.5292619  -1.25968994  0.98133778  1.20354726
  0.131873    0.31645801  0.54730368 -3.37208735  0.70600192  0.72432695
  1.10409598 -1.29800217  0.73820538 -0.3251803   1.08039914  0.65451938
  1.4799013  -1.38280625  1.19032821  1.40910075 -1.04302376  1.76799044
 -1.09618574 -0.45687078 -0.50926166  3.02231406 -3.01349674  1.43093977
  0.31601492  0.34467983 -0.04128505 -1.42151867 -0.449156   -0.94390884
  1.79122439 -3.54533698 -2.7553078   0.77779421  0.78338298  0.70497874
 -3.02623538  1.29925633  3.31162924  1.00238388]"
8,2020-12-24 16:45:00,"김대종 세종대 교수 “초중고, 대학 코딩교육 필수과목으로 정하자”","['김대', '종', '세종대', '교수', '초', '중고', '대학', '코딩', '교육', '필수', '과목', '정']",[0.54635723 0.54565139 0.65596701],3,None,"[ 0.07996708 -0.96100282 -2.55011286  1.95070127  1.56417115  2.29064696
 -0.45108909  2.35879506  2.95517861  1.61496264 -2.48668317 -0.7039137
 -4.45708951 -0.5616729  -0.88485395  2.04331293 -1.97009463 -2.21479183
  0.90984074 -0.46247828  0.99895198  2.07659532  3.98100554  0.8164276
  2.03258364 -3.59826312  1.81690003 -4.83731014 -0.69153597  2.42378398
  2.49518881 -0.04501381 -2.19340314 -3.38911069  1.85880617  0.58123088
  2.2947973  -2.30846589  0.45870825  2.79033709  0.06357777  0.5070227
  1.6736438  -0.99276601  0.55006427 -0.76712348  3.97082341  0.41911328
 -0.95122971  0.74874469  0.23371194 -0.82796707 -4.60709583  1.37784055
 -1.05801205  5.15175003 -1.45840312 -1.63361841  0.79017208  4.12908365
 -1.56640391  0.97439674 -1.96544391 -0.73584409  0.59106444 -0.08234806
 -1.18068999 -1.16160658 -2.04829719  0.74643632  3.51880428 -1.04010766
  0.7166265  -3.24713166 -0.11288623 -0.16404549 -0.04720377  1.80083893
 -1.34150931  0.66892678  0.23458137  3.28854351 -2.8962496   3.75669028
  0.43769285 -1.80914068  1.27354766 -4.72457935 -0.08789068 -0.78617627
 -1.13063911 -1.43468334 -1.61623297  1.20000175 -0.56009094 -0.06219466
 -2.12187282  0.29494658  3.31540066  3.38893476]"
9,2020-12-24 16:43:00,"한국기업데이터, 2030년까지 데이터 전문 일자리 7000개 만든다","['한국', '기업', '데이터', '데이터', '전문', '일자리', '개']",[0.49343749 0.48805463 0.52979853],3,None,"[-0.6861451  -1.42202394 -0.45342759  0.57213726 -1.81198444 -0.09667391
 -0.05014044  0.71263959  1.17408577  1.03003139 -2.15980365 -1.24859323
 -3.10454473 -2.90874145  0.73348083  1.03372861  0.2502687  -1.88595434
  1.81776693  0.65769663 -0.75645508  1.34549144  3.88744034  1.30175786
  0.2501204  -1.37291585  0.99412329 -1.03039339 -0.88824093  2.12453418
  3.36917409  1.99511822 -0.35317907 -0.24499329  1.3482386   1.44822843
  1.49225173  1.04560487  1.83039585  1.7933764   0.12369952  0.93845567
 -0.25879154  2.04364748 -1.36046464 -1.69401569  2.36107832  0.76735958
 -1.82131745 -0.69373194  0.01210039 -0.94557681 -2.47152427  0.55576222
  0.96618919  2.72986227 -2.41842259 -1.78819477  0.20952428  2.4332561
 -1.82341104  1.2114249   0.77360543 -0.42692169  1.39876394  0.12876949
 -0.67495317 -3.63108572  0.07641069  0.01718947  2.68003362 -0.80347503
  2.77446258 -0.03188973  0.03802087  0.66278873 -1.33625603  0.51684755
 -3.93712267  1.52201387 -0.28601708  2.50490388 -1.7823468   3.55171818
  0.65671619 -0.10932529 -0.2684951  -2.48491769  1.1560444  -1.93207091
 -0.56574389 -3.28619064 -1.34706137  0.20449623 -1.21806694  0.31371826
 -0.04105955  1.33142919  2.23366738  1.70931286]"
