date,title,token,industry,ind_index,산업,vector
2021-01-22 19:13:00,“이익공유제 강제 안한다” 달래는 與…IT업계 “구글 갑질 막아달라”,"['이익공유제', '강제', '업계', '구글', '달라']",[0.45939168 0.31875447 0.54137408],3,None,"[-0.46042499 -0.58737276 -1.79673661 -0.46856838  1.34145127 -0.4615571
  0.18797426  2.14971372 -0.1849286  -0.87047219  0.08478612 -0.15417379
 -1.57598639 -0.05404767 -0.15640384  0.70372647 -0.4954085  -0.58335152
 -0.67703577  0.44098282 -0.20709031  1.35053703  1.01733649  1.18913744
  2.00147513 -0.82700232  1.22964671  0.22989579  0.16360046  0.5690963
 -0.19168574  0.78432108  0.43322964 -1.00225775  0.5359076   1.82543197
  0.99655044 -1.40909159  0.66830021 -0.28158633 -0.73927215  0.14538133
 -0.50414234  0.98326765 -0.74418453  0.0379487   1.05292357  0.0425495
  0.11457022  0.19085949  0.44576138 -0.18614364 -2.15620422  1.12765157
 -0.10725773  0.86221175 -1.10676178 -1.05744606 -0.3279042   0.28337412
 -0.32409893  0.32117175  1.38058946 -1.83796665  0.37535285  1.21439985
  1.9524961  -0.12803161  1.36734138  0.39802586  1.74693903 -0.24615898
  1.2455726  -0.41930195  1.12296215  0.85755418 -1.76626918  0.07289349
 -0.36686096  1.8984136   0.25826203  1.515504   -0.43492741  0.68609075
  0.01094244 -0.77195281 -0.43861758 -0.97936326  0.54714437 -0.58373117
  1.1760174  -1.43245259 -1.2205694   0.09664116 -0.06527096  0.25832509
 -2.10806302 -0.13630651  0.66024628  0.49909613]"
2021-01-22 19:07:00,"""소설은 웹툰으로, 웹툰은 드라마로"" 리디, 콘텐츠 다각화 시동걸어","['소설', '웹툰', '웹툰', '드라마', '리디', '콘텐츠', '다각', '시동']",[0.51444888 0.40782739 0.62307585],2,통신,"[ 7.76510134e-01 -1.51847349e-01 -2.48273474e+00  2.18504751e+00
 -7.01149944e-01 -8.58079270e-01 -2.42838338e-01  1.87024832e+00
  2.58759114e+00  6.87243246e-01 -8.18047896e-01 -1.66684566e+00
 -2.92041801e+00 -8.06101134e-01  6.02547139e-01  5.61492689e-01
 -1.57398595e+00 -6.57815006e-01 -6.87633403e-01 -1.89766181e+00
 -8.77054773e-01  1.43227090e+00  2.18932264e+00  1.22509000e+00
 -4.83514182e-02 -4.92444303e-01 -5.59639890e-01 -1.39566192e+00
  4.93553654e-01  1.12041476e+00  5.82123179e-01 -3.23480697e-01
 -1.16282050e+00 -2.91423735e+00  2.08741026e+00  3.09458638e-01
  4.32642501e-01 -4.39339098e-01 -4.54298051e-01  3.63306355e-01
 -1.50370308e-01 -5.84161751e-01  6.69771241e-01  6.02202192e-01
 -4.12070841e-01 -4.52293688e-01  3.70875111e+00  3.14838607e-01
  9.91899613e-02  2.13585391e+00 -3.82310642e-01  8.05194922e-01
 -1.56600595e+00  4.99195623e-01 -2.18932531e+00  3.59970069e+00
 -3.07802018e-03 -9.08061124e-01 -8.04949336e-01  2.33215693e+00
 -2.96402557e+00  8.94254975e-01  1.10904777e+00 -3.36224490e+00
  6.88149869e-01  2.60725740e+00 -8.17957334e-02 -2.27761313e+00
 -9.07136687e-01  3.65347791e-01  2.65408383e+00  1.05082452e-01
 -5.16801114e-01 -2.70910204e+00 -1.22134437e+00  1.43258758e+00
 -7.85143332e-01  1.11873948e+00 -1.71021462e+00  9.55688145e-01
 -1.54387258e+00  1.60693570e+00 -2.02004221e+00  2.46127634e+00
  2.42308693e-01  4.17778563e-01  4.10703506e-01 -1.95639788e+00
 -6.91526901e-01 -2.65927763e+00  8.46813053e-01 -1.78381187e+00
 -2.23954304e+00  1.12017128e+00 -5.37068713e-01  8.32433302e-01
 -8.72762114e-01  1.92225409e+00  3.15174612e+00  1.18451604e+00]"
2021-01-22 18:22:00,"[리뷰] TV를 춤추게 하는 재주, 필립스 휴 HDMI 싱크박스","['리뷰', '를', '재주', '필립스', '싱크', '박스']",[0.46532658 0.33935735 0.55633299],2,통신,"[ 0.3921952   0.24142531 -1.57819466  0.81831693  0.06120982 -0.52204344
 -0.07363761  1.30498359  1.67708853  0.18107486 -0.48506633 -0.07409186
 -1.35995495 -0.16140352  0.40325334 -0.17798704 -1.66551128 -1.80333941
 -0.90251102  0.45599131  0.32440626  1.38510162  1.56981803  1.02740359
  0.79720016 -1.23870656 -0.12807675 -1.62308436 -0.1145803   0.75607115
 -0.2944535  -0.22862559 -0.80853888 -1.77466173  0.71467436  0.23586893
  1.20105197 -0.63808158 -0.82826294  1.13068093  0.62041759 -0.03470886
  1.27169796 -0.16537725 -0.56495237 -0.83552782  1.67105107 -0.0829944
  0.71202014  0.12041033  0.37436799  0.36192206 -2.25144497  0.24612158
 -1.37477705  2.22534341 -0.60949929 -1.47811732  0.21877499  1.58559428
 -0.85636229  0.43843018  0.54110525 -1.27832249 -0.11319879  0.7639183
  0.10873247 -0.54508044 -0.00439507  0.5627756   0.10803683  0.44895621
  0.15465122  0.2319251  -0.42042951 -0.06266809  0.09562398  1.1079895
 -0.80945805 -0.05890379  0.09515338  1.29250011 -0.94002526  1.05622324
  0.24146829  0.38138038 -0.06200246 -0.17097667  0.39620613 -1.14353864
  0.34373508 -0.76560145 -1.13173429  0.98744974 -0.4272886   1.37958473
 -0.65276331 -0.56601635  1.23616539  0.19745788]"
2021-01-22 17:59:00,"대웅제약, 코로나19 치료제 ‘호이스타정’ 임상 3상 승인","['대웅제약', '코로나', '치료', '제', '호이스', '정', '임', '상', '승인']",[0.48507504 0.78959601 0.36878862],1,바이오,"[-2.89057502 -2.36157679 -3.66297057  0.51622744  0.90070639  1.42285801
 -0.89555967  4.0327085  -0.13112024  0.28132248 -5.20392665 -2.67102313
 -3.44217674 -1.40737855  3.48185675 -1.36593751 -0.95244635 -5.60637139
  2.306116   -1.56908901 -0.17585106  1.58253403  3.21104465  0.80450933
  1.1825893   0.61140274  4.13209625 -2.08687053 -0.10392258  0.91826784
 -1.56549346  0.40495569 -2.69975992  0.44043852  1.97845242  1.4270734
  4.00923623 -5.26989327  0.47647863 -0.14242628 -3.0498541  -0.87438793
  0.46397256  0.56937281  1.42679695 -2.18928572  3.39403535  2.72530508
 -1.93309405  0.2401833  -1.10625719 -1.48048004 -0.39406635 -0.87634886
  0.44750786  4.05434445 -1.33822821 -0.59873619 -0.30202536  2.24818473
  2.26647567  1.28106051 -1.46505833 -2.48910245  0.74900427  1.85287332
 -0.15938893 -1.46398413 -0.11260458  0.91354841  4.3729542   0.10067458
  1.33063192 -1.23250499  1.5786925  -2.42792031 -1.33986521  2.11603061
 -0.45726367  0.07461433  2.55079537 -0.49639765 -1.2240629   2.02932516
  2.4931592   0.62789962  4.59916473 -3.10860319 -0.34695203  3.02805457
  0.54912967 -2.34383181  0.63736958 -1.05013497  1.95452882  2.0724209
 -4.06057374  1.34131056  3.37299712  2.46072812]"
2021-01-22 16:53:00,"[리뷰] 재택근무에도 든든한 15.6인치 비즈니스 노트북, HP 프로북 450 G8","['리뷰', '재택근무', '인치', '비즈니스', '노트북', '프로', '북']",[0.63237934 0.45170876 0.71770189],2,통신,"[ 1.43803874e+00  1.38590994e+00 -1.49864149e+00  7.04687279e-01
  1.28942573e-01  2.76029456e-01 -3.13908322e-01  2.62966076e+00
  2.97839803e+00  1.18006872e+00 -1.05093826e-01  3.76578286e-01
 -3.45355964e+00 -6.80000241e-01  1.62917409e+00 -3.76096642e-01
 -2.33732547e+00 -2.42075745e+00 -7.03031514e-02 -3.43835421e-01
  4.26972812e-01  1.40269615e+00  2.13915183e+00  9.53726552e-01
  2.06359211e+00 -1.03898352e+00 -2.12715651e-01 -4.04270402e+00
  1.09549351e-02  4.98642327e-01 -2.21446939e-01 -2.82264136e-01
 -8.52195194e-01 -2.63700950e+00  1.93114449e+00  5.99012218e-01
  1.11116776e+00 -8.11220698e-01 -1.87546295e-01  1.31085723e+00
  8.00529561e-01 -1.34440069e+00  1.34855462e+00 -6.62931949e-02
 -2.70113811e-01 -8.28807866e-01  1.83085919e+00 -6.69802286e-01
 -6.48231771e-01  8.70886434e-01  3.48771509e-01 -6.68426557e-01
 -2.25904725e+00  2.81033400e-01 -1.83115421e+00  3.55737188e+00
 -4.63850238e-01 -1.39895189e+00  6.98228353e-01  2.94182008e+00
 -1.11418504e+00  4.08904503e-01 -1.59233585e-01 -2.94164142e+00
  1.80409104e-03  2.57090512e+00  1.26670129e-01 -1.56774373e+00
 -2.16615748e+00  7.54611611e-01  2.31683443e+00  4.22952309e-01
  5.15290834e-01 -8.22968289e-01 -1.07312371e+00 -1.51611400e-01
 -6.68160005e-01  1.96888380e+00 -7.40549270e-01 -9.19261254e-01
  4.76978742e-01  2.64103907e+00 -1.39547453e+00  1.10550169e+00
  2.23634243e-01 -5.88625923e-01 -8.45679246e-01 -1.66424951e+00
 -1.18546017e-01 -1.07894372e+00  8.90724607e-01 -1.07586978e+00
 -1.81840779e+00  1.18253093e-01 -2.40255155e+00  5.60867958e-01
 -1.47846432e+00  6.34051334e-01  2.77936588e+00  1.97041935e+00]"
2021-01-22 15:57:00,"IT업계 불러모은 이낙연 대표, ‘이익공유제 압박’ 논란","['업계', '이낙연', '대표', '이익공유제', '압박', '논란']",[0.42634945 0.35204635 0.46446251],3,None,"[-0.41495996 -0.71275788 -1.66769522  1.6329152   0.9597583   1.42887878
  0.51240372  1.87849215 -0.14197396 -0.86289501 -1.72032766 -0.01055356
 -0.29463734 -1.44650915 -1.43463999  0.77808022 -0.50460515 -0.62283894
 -0.16383545  0.16973539 -0.37127033  1.37450175  1.19822428  1.33299226
  2.65935841 -1.15006339  1.55349403  0.20532945 -0.40759213  0.81178512
 -0.24733298  0.78071946 -1.2786162  -0.39463471  0.76181671  2.11108488
  0.22622304 -1.30986167  1.41578764 -0.22167441 -0.39519268 -0.17340707
  0.13292438  0.94904255 -1.03931329 -0.05394802  0.33360725  0.16128026
  0.3452005   0.53014512 -0.18143381 -0.21144452 -1.80841651  1.31516199
  0.34735315  1.22331046 -0.91924964 -1.41526481 -0.99297533  0.88538965
 -1.02079776  0.36231897  0.9767158  -2.15046483  1.16963186  0.44647413
  0.72460511  0.31760841  1.05375384  0.55553913  1.84278733 -0.15134789
  1.3874374  -1.81900815  0.51610043  0.72965492 -2.20052464  0.3747205
 -0.4230382   1.52966124  0.31015582  0.60982354 -1.16969126  0.9730977
  0.24657752 -0.79855252  0.31511013 -1.74612997  0.15941293  0.39145585
  1.43490892 -1.69790454 -0.84737753  0.80481889  0.04383233  0.78082749
 -1.58677185 -1.02416918  0.87289706  0.99563522]"
2021-01-22 15:37:00,원스토어와 갤럭시스토어 '후끈'.. 모바일 게임업계 지형 바뀌나,"['스토어', '갤럭시', '스토어', '후끈', '모바일', '게임', '업계', '지형']",[0.58617117 0.35010315 0.64707391],2,통신,"[ 7.27571124e-01  1.12345093e+00 -8.25276427e-01 -1.41617447e-01
 -1.32722481e+00 -2.58136311e-01  3.40951425e-01  4.90512581e+00
  3.03105344e+00  1.71489485e+00 -6.22041270e-01 -5.09756341e-01
 -2.21399842e+00  5.95747551e-01  2.07929824e+00  1.32518055e+00
 -2.06104043e+00 -2.37965215e+00 -7.69475065e-02 -7.21925467e-01
  7.14039072e-01  7.32467920e-02  2.67856206e+00  2.13256081e+00
  2.69695496e+00 -1.30016777e+00 -5.78683034e-01 -3.28506551e+00
 -2.13202180e-01  6.88653467e-01 -3.56684739e-01 -6.77967222e-01
 -2.68382125e-01 -3.54849647e+00  2.66928267e+00  1.36040652e+00
  1.48260403e+00 -1.35439424e+00  4.15593062e-01  6.77570423e-01
  1.04462446e+00 -1.26866210e+00 -6.99073486e-02  1.59872345e+00
 -9.34735345e-01 -2.06683361e-01  3.17855313e+00  4.92924046e-01
 -2.22710073e-01  4.93671969e-01 -1.34042114e-01 -1.04934545e+00
 -1.39604383e+00  1.94712087e-01 -3.32691754e+00  2.94874033e+00
 -7.21903043e-01 -1.64934200e+00 -1.17297465e+00  2.95422605e+00
 -2.66598123e+00  1.39714057e+00  1.31816140e+00 -3.04972388e+00
  1.88344199e+00  3.27282451e+00  1.25346608e+00 -2.12538771e+00
 -1.89342288e+00 -2.50276022e-01  2.77858306e+00  9.96692524e-01
  5.13802063e-01 -3.17836569e+00 -9.51216742e-01  5.77007595e-01
 -2.36749184e+00  2.23537704e+00 -2.88203198e+00 -4.93795689e-01
 -4.59611230e-03  8.08730114e-01 -6.44739162e-01  1.60454015e+00
 -1.00054223e-01  1.91803560e+00 -6.66643113e-01 -2.11191738e+00
  3.43608609e-01 -2.00370698e+00  2.94415720e+00 -2.48599164e+00
 -3.35885347e+00  2.40125124e+00 -1.63833577e+00 -8.87137301e-01
 -3.95027752e+00  7.95017526e-01  2.33321842e+00  2.89668567e-01]"
2021-01-22 15:24:00,"GC녹십자, 세계 최초 중증형 헌터증후군 치료제 허가","['녹십자', '세계', '최초', '중증', '헌터', '증후군', '치료', '제', '허가']",[0.52318832 0.80242683 0.37517215],1,바이오,"[-3.11285809 -0.64118333 -3.09614068  2.78730046  1.88587789  2.30339415
  0.52619001  1.99729011  1.91754975  2.03717946 -2.94148418 -4.56373477
 -3.06728139 -1.61193314  3.2535102  -0.67028387 -3.15805167 -4.39595564
  2.79389428 -0.28815576 -0.10721628  1.49050454  6.55808173  0.52694608
  0.43080845 -0.07531456  4.58670183 -3.67639603 -0.1191178   2.84669623
 -0.31891377  0.08390175 -2.68149944 -2.90315486  2.58826675  1.89273257
  3.06499588 -4.86574456  1.70522268  1.01802176 -3.86370602 -0.33778042
  1.66194022  0.19309617  1.55567368 -2.13146316  2.00621581  3.16152245
 -3.25988985 -3.31615625  0.40061782 -1.70481552  0.13159263 -0.10221247
  1.32397132  4.41882364 -0.81524527  0.07283077 -0.4400754   1.89066252
  3.17451462  0.61728423  0.55731253 -2.54630706 -0.5806179   1.37131539
 -0.38151396 -0.54107026 -0.90446845 -0.2518205   3.55526543 -0.61739127
  0.10582081  0.90442227  0.04301505 -2.27809435  0.7670188   1.64321134
 -1.5764518   0.32671589  2.74765778  0.55778334 -3.18031983  1.5131148
  0.92014652  1.98804566  3.63758292 -2.93884343 -0.81137444  4.38844492
 -0.34622921 -4.22250148 -1.20581168 -0.45519445  0.60914856  0.0240268
 -2.55644636  0.42858497  2.97070461  1.39016583]"
2021-01-22 11:32:00,㈜캐디언스시스템 “편리한 설계 환경 활성화 위해 해석 SW 특별 프로모션”,"['캐디', '언스', '시스템', '설계', '환경', '활성화', '위해', '해석', '특별', '프로모션']",[0.46939333 0.43372798 0.59259091],3,None,"[ 0.98179448 -0.65729088 -3.88672884  0.02860519 -1.50835706 -0.03943656
 -0.72225643  2.43029444  1.34436159  0.54480106 -3.23542818 -0.76015926
 -3.28250028 -0.57839813 -1.0468446   1.06760403  0.5687334  -1.25747024
  1.38107515  1.49238516  1.32134584  3.06482026  2.37837995  2.82888566
  1.01955504 -0.93121627  1.93650679 -2.93642399  0.26908617  2.64407864
  0.92873318  1.73138051 -2.14856479 -2.73651563  0.92689664  0.98420263
  1.45383605 -0.67788738  0.43021869  4.09618727  0.85347102  0.59159851
  1.76416397  0.2075417   1.88457585 -1.06608423  3.80108745  0.78186238
 -0.46333413 -1.15578187  1.95715718 -0.43223497 -4.17776404  1.88658802
 -1.36463768  3.60847114  0.12158151 -2.22946613  0.28044777  1.49722128
 -2.02834789  1.38555711  0.84572739 -4.13942932  0.4822252   0.14638934
 -0.20484768 -0.50975133 -1.31364702  0.03832261  2.02724366 -0.8295778
  2.53636627 -1.82222813  0.00800552 -1.87852772 -1.21801962  1.84855302
 -0.82191401  2.16663672 -0.78991097  3.18373003 -1.18732067  3.10791834
  1.13307286 -0.47925698  1.07459178 -2.75133605 -0.37583351 -0.56587504
 -0.42086941 -0.43647723 -1.2156579   2.0458284   0.56607295  1.35847726
 -2.00549736  1.61229568  2.41629449  1.87005968]"
2021-01-22 10:58:00,에이비랜드 “홈페이지 새 단장하고 정식 서비스 시작”,"['에이', '비', '랜드', '홈페이지', '새', '단장', '정식', '서비스', '시작']",[0.46066062 0.47015223 0.54235655],3,None,"[ 1.01323716 -1.14868469 -2.69010163  1.32531456 -1.50326668  0.06737861
 -0.52793096  2.93309674  5.48740141  0.90204274 -1.97764923 -1.51963235
 -3.89828338 -1.86921871  2.32332753  0.82072675 -2.48080957 -2.86856721
  0.22632095 -1.08696631 -0.80698894  1.22993503  0.39419388  2.09698656
  1.58062836 -1.1137593   1.36298834 -2.48560725  1.40017673  0.78784072
  0.88675722 -0.22064315 -2.04903175 -2.97729328  1.39431189  0.77161166
  1.30983929 -0.92470286 -1.19571668  2.92525821  0.64018738 -0.89191892
  0.20759692  0.47812048 -0.78624065 -2.93655005  3.2396641   1.42925839
 -2.63154985 -1.40300415  2.35076228 -1.46288825 -3.06892835 -0.11186638
 -2.3589301   4.23593413 -1.11011344 -2.19859748 -1.14731681  2.09356067
 -1.10745354  0.95553394 -0.5182082  -3.15248302 -0.4230905   0.81247858
 -1.11469289 -1.19319006 -0.51156872 -2.87207572  1.6816392  -0.08269186
  1.45228042 -2.00021362 -0.74775836 -1.71858304 -0.03204491  3.7315276
 -2.5185492  -2.5621024   0.54031101  1.79064261 -0.02823149  1.30709395
  0.75112081  0.29513868  0.59854046 -2.23187375 -0.52136567  0.18095355
  2.45812232 -1.92998342 -2.84893347  2.16029906 -0.37607236  0.80620887
 -2.73898739  0.21871636  2.91097626  1.88486939]"
