,date,title
0,2021-01-22 19:13:00,“이익공유제 강제 안한다” 달래는 與…IT업계 “구글 갑질 막아달라”
1,2021-01-22 19:07:00,"""소설은 웹툰으로, 웹툰은 드라마로"" 리디, 콘텐츠 다각화 시동걸어"
2,2021-01-22 18:22:00,"[리뷰] TV를 춤추게 하는 재주, 필립스 휴 HDMI 싱크박스"
3,2021-01-22 17:59:00,"대웅제약, 코로나19 치료제 ‘호이스타정’ 임상 3상 승인"
4,2021-01-22 16:53:00,"[리뷰] 재택근무에도 든든한 15.6인치 비즈니스 노트북, HP 프로북 450 G8"
5,2021-01-22 15:57:00,"IT업계 불러모은 이낙연 대표, ‘이익공유제 압박’ 논란"
6,2021-01-22 15:37:00,원스토어와 갤럭시스토어 '후끈'.. 모바일 게임업계 지형 바뀌나
7,2021-01-22 15:24:00,"GC녹십자, 세계 최초 중증형 헌터증후군 치료제 허가"
8,2021-01-22 11:32:00,㈜캐디언스시스템 “편리한 설계 환경 활성화 위해 해석 SW 특별 프로모션”
9,2021-01-22 10:58:00,에이비랜드 “홈페이지 새 단장하고 정식 서비스 시작”
10,2021-01-22 09:36:00,이루다 ‘개인정보 유출’ 피해자 300명 공동소송 절차 돌입
11,2021-01-22 06:15:00,전 세계 당뇨환자 증가…코로나가 식습관·좌식생활에 영향
12,2021-01-22 03:00:00,블랙아이스 사고 미리 막을 수 있다
13,2021-01-22 03:00:00,“코로나 백신 부작용 체질마다 다르다”
14,2021-01-21 19:30:00,"한미약품, 약효 지속성 높인 희귀질환 혁신신약 2종 美서 임상 2상 승인"
15,2021-01-21 18:30:00,"와이제이엠게임즈 오진영 실장, ""'소울워커 아카데미아'가 가진 매력 '자신'"""
16,2021-01-21 18:13:00,"‘10조 주식부자’ 김범수, 왜 ‘이 타이밍’에 1000억대 증여카드를 빼들까"
17,2021-01-21 17:52:00,"대웅제약, 식약처 지원 통해 위식도역류질환 치료제 생산기술 개선"
18,2021-01-21 17:32:00,22일 아침기온 크게 오른다…비는 오전중에 그쳐
19,2021-01-21 17:21:00,[에코X경기도] 에코 디자인으로 해외 문 두드리다
20,2021-01-21 16:55:00,"[리뷰] 게이머들의 선택에는 이유가 있더라, 에이수스 KO 지포스 RTX 3070 게이밍 OC"
21,2021-01-21 16:46:00,"(주)피피엠아이, 맞춤형 반려동물 헬스케어 서비스 아이언펫 출시"
22,2021-01-21 15:49:00,"리워드 쇼핑 플랫폼 스타일씨, 옹성우 모델 발탁… 다양한 이벤트 진행"
23,2021-01-21 15:38:00,"티머니, ‘대중교통 안면인식 결제’ 도입…마스크 써도 인식"
24,2021-01-21 15:20:00,화인엠택 “방화문에 개스킷 삽입 기술 특허 출원…신제품 선 봬”
25,2021-01-21 15:00:00,"삼성, 동남아 스마트폰 시장 점유율 2위…1위는 中업체"
26,2021-01-21 11:07:00,"“스마트폰 떼어내면 오른다”…증권가, LG전자 목표가 줄상향"
27,2021-01-21 10:50:00,"토종 물류로봇 상용화, 본궤도 올랐다"
28,2021-01-21 03:00:00,"LG, 스마트폰 사업 철수 가닥"
29,2021-01-21 03:00:00,"스마트폰 지각변동 놓친 LG, ‘초콜릿폰 영광’ 회복 못해"
30,2021-01-21 03:00:00,"LG, 5조 적자에 스마트폰 사업 정리 수순… 전기車부품 등 미래사업 집중"
31,2021-01-21 03:00:00,주목받는 SK바이오… 백신개발-위탁생산 동시에
32,2021-01-21 03:00:00,“코로나 끝나도 ‘인강’으로 공부시킬래요”
33,2021-01-21 03:00:00,[만화 그리는 의사들]〈165〉비장의 감량 무기
34,2021-01-21 03:00:00,“암치료보다 예방에 주력… 국민에게 올바른 정보 알릴 것”
35,2021-01-21 03:00:00,[단독]실신 원인 못찾던 70대 심장환자 ‘웨어러블 기기’로 살렸다
36,2021-01-21 03:00:00,미성년자에 술배달땐 배달플랫폼도 함께 책임
37,2021-01-21 03:00:00,넷플릭스 유료 가입자 2억명 넘어서
38,2021-01-21 03:00:00,"네이버, 세계 1위 스토리텔링 플랫폼 품다"
39,2021-01-21 03:00:00,스마트싱스와 삼성 가전으로 누리는 세상 편한 스마트홈
40,2021-01-20 19:37:00,"아는 사람만 쓰던 델(Dell) 노트북, 일반 직장인들에게도 '손짓'"
41,2021-01-20 17:45:00,스타트업 활용 & 투자 전략 사례와 시사점 2부
42,2021-01-20 16:52:00,스타트업 활용 & 투자 전략 사례와 시사점 1부
43,2021-01-20 16:16:00,출시 후가 중요해진 콘솔 게임. 사이버펑크2077은 명예회복을 할 수 있을까?
44,2021-01-20 15:17:00,"올해 눈 내린 날, 평년보다 75% 많았다…18일 중 7.2일"
45,2021-01-20 15:16:00,"‘적자 5조’ LG스마트폰, 결국 접나…“모든 가능성 검토중”"
46,2021-01-20 14:43:00,"CES로 들여다보는 TV의 미래, 2021년 이후 텔레비전 시장의 방향은?"
47,2021-01-20 12:28:00,"토종 코로나19 치료제, 상반기 중 나온다…‘뉴딜·5G’로 경제 회복"
48,2021-01-20 11:08:00,“승차거부 없어요”…‘우버택시’ 20일 부터 서울 달린다
49,2021-01-20 10:45:00,"LG헬로비전, 신규 셋톱박스 출시"
50,2021-01-20 10:25:00,"서브원, 한미약품과 코로나19  ‘신속 항원진단키트’ 독점공급 협약 체결"
51,2021-01-20 03:00:00,자도자도 피곤하다면 면역력 저하 의심… ‘NK세포’ 활성화해야
52,2021-01-20 03:00:00,70대 이상 4명 중 1명이 황반변성… “루테인-아스타잔틴 챙겨 먹어야”
53,2021-01-20 03:00:00,나이 들어 줄어드는 근육 마시는 ‘단백질’로 채우자
54,2021-01-20 03:00:00,경옥고 제법 적용한 전통 발효고
55,2021-01-20 03:00:00,관절 건강에 좋은 ‘식이유황’ 함유
56,2021-01-20 03:00:00,소팔메토 추출물로 배뇨장애 개선
57,2021-01-20 03:00:00,근육통 줄이고 면역력 높이는 온열치료기
58,2021-01-20 03:00:00,구아버잎 추출 복합물 사용… 콧물-재채기 완화 도움
59,2021-01-20 03:00:00,‘고함량 활성비타민’ 하루 한 알로 육체피로 해소
60,2021-01-20 03:00:00,"루테인-지아잔틴 한번에 섭취… 침침한 눈, 선명하게"
61,2021-01-20 03:00:00,순수 ‘토종 콩’으로 만들어 구수하고 진한 맛
62,2021-01-20 03:00:00,이번 명절 선물로 ‘바다의 웅담’ 전복 어때요?
63,2021-01-20 03:00:00,법성포 바닷바람에 말린 감칠맛 나는 부세
64,2021-01-20 03:00:00,배변활동 강화 유산균… 장을 건강하고 편안하게
65,2021-01-20 03:00:00,식사 후 30초 가글… 액상 제품으로 치주질환 예방
66,2021-01-20 03:00:00,청정 1급수 산소량의 5만 배… 마시거나 얼굴에 뿌리면 좋아
67,2021-01-20 03:00:00,푹 자도 피곤하고 머리가 지끈지끈… 산소부족 의심해야
68,2021-01-19 19:06:00,"한미약품 ""RPA 기반 업무 혁신, 열린 인재채용으로 이어져"""
69,2021-01-19 19:04:00,"보령제약, 예산공장 시대 개막… 항암제 생산라인 가동"
70,2021-01-19 16:35:00,"부가세 확정·신고, 법인 1월 25일 개인 2월 25일까지…직접 장부 작성 도전?"
71,2021-01-19 16:10:00,"[리뷰] 27인치 QHD와 95Hz를 갖춘 실속형 모니터, 큐닉스그룹 QX2711"
72,2021-01-19 15:53:00,모바일 시장의 겨울 업데이트 승자 윤곽 드러나나?
73,2021-01-19 14:04:00,"공인인증서 VS 간편인증서, 얼마나 '간편'하길래?"
74,2021-01-19 03:00:00,19일 전국이 ‘꽁꽁’… 서울 체감온도 영하 18도
75,2021-01-19 03:00:00,사우디에 이례적 폭설… 낙타 ‘둥절’
76,2021-01-19 03:00:00,“갤럭시 스마트태그로 쉽게 찾아요”
77,2021-01-19 03:00:00,작년 ICT 수출 202조원… 역대 3위
78,2021-01-19 03:00:00,"SKT “TV속 출연자, AR캐릭터로 동시에 봐요”"
79,2021-01-19 03:00:00,대를 이어온 경옥고 전통제법으로 명품 발효고 제조
80,2021-01-19 03:00:00,‘침향’으로 막힌 곳 뚫어 온몸의 순환을 원활하게
81,2021-01-19 03:00:00,하루 한 포로 장속까지 시원하게 ‘변비탈출’
82,2021-01-19 03:00:00,불면의 밤 계속되면 뇌에 치매 유발 단백질 쌓인다
83,2021-01-19 03:00:00,마스터컨트롤社 ‘품질경영솔루션’… 의약품 제조-품질관리 시장 선도
84,2021-01-19 03:00:00,양방향 쇼핑 플랫폼 ‘라이브 커머스’ 선도
85,2021-01-19 03:00:00,5G-AI 기술로 전력사용량 감축… 친환경 ICT 기업으로 진화
86,2021-01-18 22:15:00,"LG QNED TV 등장, ‘차세대’ vs ‘궁극의 현세대’ 구도 노린다"
87,2021-01-18 18:19:00,"[리뷰] 6,400만 화소 카메라와 3축 짐벌에 무선 마이크까지, DJI 오즈모 포켓 2"
88,2021-01-18 17:00:00,"그라비티 정일태 팀장 ""라그 오리진 3.0 업데이트 성공적..소통 중시할 것"""
89,2021-01-18 16:53:00,"한미약품, 내달 코로나19 신속항원진단키트 발매… 30분 내 결과 확인"
90,2021-01-18 16:17:00,"국내 31호 신약 완성… 유한양행, 폐암 치료제 ‘렉라자’ 개발 성공"
91,2021-01-18 16:10:00,식약처 검증자문단 “셀트리온 코로나 치료제 조건부 허가 권고”
92,2021-01-18 15:18:00,온실가스 안 줄이면 2100년 한반도 평균 기온 7도 올라
93,2021-01-18 14:05:00,"[주간투자동향] 여행 플랫폼 스타트업 트리플, 200억 원 규모의 투자 유치"
94,2021-01-18 13:01:00,"SML제니트리 “취합검사 가능한 코로나19 진단키트,  美 FDA 긴급사용승인 획득”"
95,2021-01-18 11:55:00,천문연-NASA “태양 외부 코로나 100만℃에서 초속 260㎞로 퍼진다”
96,2021-01-18 11:36:00,출근대란은 피했지만…기상청 오보에 시민도 공무원도 지친다
97,2021-01-18 11:19:00,"“원형탈모 앓은 임산부, 유산 위험 높아”"
98,2021-01-18 10:07:00,한파 또 온다…‘침묵의 살인자’ 고혈압 주의해야
99,2021-01-18 09:00:00,"미디움, 중국 피어세이프와 아세안 최대 무역금융 거래플랫폼 구축 나서"
100,2021-01-18 09:00:00,라바웨이브 “몸캠피싱 대응 기술 특허 등록 …기술 침해 시 강경 대응”
101,2021-01-18 03:00:00,“日 수출규제로 기업간 협력 강화… 신산업 발굴해 전문인력 키워야”
102,2021-01-18 03:00:00,美의사당 난입 ‘트럼프 시위대’ 인공지능으로 잡았다
103,2021-01-17 15:03:00,“윽.노래소리에기절” “힘내소^^!”…댓글놀이에 푹 빠진 중년층
104,2021-01-17 14:07:00,"밤부터 또 폭설, 월요일 출근길 비상…서울시 제설 1단계 발령"
105,2021-01-17 11:53:00,“20㎝ 눈폭탄 우려” 대설경보 가능성…밤부터 쏟아진다
106,2021-01-17 10:54:00,삼성전자 사장이 말하는 ‘갤럭시S21’…“디자인·카메라·성능 모두 갖춰”
107,2021-01-17 08:10:00,인류 위협하는 ‘기후변화’ 대응 늦추면 경제도 타격
108,2021-01-17 07:24:00,갤럭시S21 조기 출격…동학개미 三電 신뢰 보답할까
109,2021-01-17 07:21:00,미세먼지 심각하면 기후변화 대응 ‘뒷전’…“전담조직 절실”
110,2021-01-16 17:31:00,일요일 아침 -15도 강추위…서울·경기 등 한파주의보
111,2021-01-16 14:00:00,‘운동화 골라주는 남자’가 말하는 좋은 신발 선택법 [양종구 기자의 100세 시대 건강법]
112,2021-01-16 03:00:00,돌돌 말리는 ‘상소문 폰’… 스마트폰 ‘게임 체인저’ 되나
113,2021-01-16 03:00:00,반려견 감정 파악하고 변기로 건강진단
114,2021-01-16 03:00:00,로봇이 수저 놓고 ‘홈트’ 땐 화상 코칭
115,2021-01-16 03:00:00,“자기관리가 명약” 당뇨 가족력 극복한 ‘걷기 마니아’
116,2021-01-15 18:22:00,"대웅제약 ‘호이스타정’, 서울성모병원서 코로나19 치료제 사용 추진"
117,2021-01-15 17:25:00,일요일부터 또 다시 눈 ‘펑펑’…월요일 출근길 대란 우려
118,2021-01-15 17:09:00,"불붙는 배달앱 ‘속도 전쟁’…배달의민족, ‘배달 빠른순’ 필터 추가"
119,2021-01-15 16:53:00,빅히트 '위버스'-엔씨소프트 '유니버스' 차세대 K-POP 팬덤 플랫폼 '격돌'
120,2021-01-15 16:34:00,[날씨]내주 첫 출근길 경기동부·충북 최대 15㎝ 폭설…수도권 7㎝ ‘펑펑’
121,2021-01-15 15:33:00,모르고 쓰면 '독!' 되는 전자레인지 사용법
122,2021-01-15 15:31:00,"“019, 너마저 가는구나”…역사속으로 저무는 2G 서비스"
123,2021-01-15 15:23:00,"여의도에 체험형 매장 연 다이슨, “맞춤형 경험 제공할 것”"
124,2021-01-15 14:38:00,"이통3사, 갤럭시S21 15일부터 사전예약…LGU+ 최대 50만원 지원금"
125,2021-01-15 14:03:00,[MIK@CES2021] ‘CES 2021’을 빛낸 국내 스타트업은?
126,2021-01-15 13:47:00,"잠잠했던 강추위, 다시 온다…서울 전역 한파주의보"
127,2021-01-15 12:51:00,"나만 알아야 아는 장소가 버젓이…“카카오맵, 즐겨찾기 비공개해야”"
128,2021-01-15 12:00:00,카카오맵 이용자 정보 노출 논란…네이버·구글 지도는 괜찮을까
129,2021-01-15 11:40:00,‘이루다’ 개발사 “데이터베이스·딥러닝 대화 모델 폐기 결정”
130,2021-01-15 11:13:00,다시 찾아오는 강추위…서울 전역에 한파주의보 발효
131,2021-01-15 10:39:00,"바운티팜 김영찬 대표 ""국제 무역, 인공지능 플랫폼으로 비대면 거래 실현"""
132,2021-01-15 09:57:00,카카오맵 일부 이용자 신상정보 노출 논란…정부 “조사 검토”
133,2021-01-15 03:00:00,“코로나 백신은 접종 주기-분배 문제 등 불확실한 것 아직 많아”[전문가 기고]
134,2021-01-15 03:00:00,역대급 속도와 협력으로… 지구촌 과학자들 백신개발에 ‘영끌’ 했다
135,2021-01-15 00:05:00,"삼성 갤럭시 S21, ‘카툭튀’가 예뻐졌다…출고가는?"
136,2021-01-14 22:24:00,"종근당 “개발 중인 코로나19 치료제, 중증 환자에게 치료 효과”"
137,2021-01-14 17:42:00,"[날씨]15일 전국 비 소식, 그치면 기온 뚝…미세먼지 나쁨"
138,2021-01-14 17:40:00,2021년 새로운 도약 노리는 게임사들
139,2021-01-14 17:21:00,"연구개발특구진흥재단, ""업무 디지털화, 코로나19 위기를 기회로 만드는 열쇠"""
140,2021-01-14 16:58:00,"알테오젠, ‘JP모건 헬스케어’서 기술 수출 확대 모색"
141,2021-01-14 15:42:00,"엔비디아, RTX 30 시리즈 모바일 GPU 공개··· 게이밍 노트북의 새 장 연다"
142,2021-01-14 15:15:00,[날씨]일요일 오후부터 눈 소식…다음주 출근길 영향줄 듯
143,2021-01-14 14:59:00,"셀트리온, 美서 골다공증 치료제 바이오시밀러 ‘CT-P41’ 임상 3상 신청"
144,2021-01-14 14:27:00,"예스나우, 비대면 교복 사이즈 측정 서비스 ‘핏파인더’ 선 봬"
145,2021-01-14 13:43:00,AI 챗봇 ‘이루다’ 사태 철벽방어…카카오 “차별·증오발언 강경 대응”
146,2021-01-14 11:45:00,"올리브 유니온, CES 2021서 보청기&블루투스 이어폰 올리브 프로 공개"
